Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Foxtail millet,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Proso millet,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Barnyard millet,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Kodo millet,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Little millet,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Browntop millet,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Teff,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Fonio,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Maize flour,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Wheat,Cereals & grains,5.5–6.5,10–14%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Durum wheat,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Hard red wheat,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Soft wheat,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Spelt,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Emmer,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Einkorn,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Kamut,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Rye,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Barley,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Hulled barley,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Pearl barley,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Oats,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Rolled oats,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Steel-cut oats,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Buckwheat,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Quinoa,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Amaranth grain,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Triticale,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Canary seed,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Job's tears,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Freekeh,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Wheat berries,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Rye berries,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Oat groats,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Barley groats,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Millet flour,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Sorghum flour,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Rye flour,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Cornmeal,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Corn grits,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Apple,Fresh fruits,3.3–4.0,83–86%,0–4°C,Low–Medium,Medium,High,Medium,1–6 months,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Pear,Fresh fruits,3.4–4.7,83–85%,-1–1°C,Low–Medium,Medium,High,Medium,1–6 months,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Asian pear,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Quince,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Apricot,Fresh fruits,3.5–4.5,85–90%,-0.5–0°C,High,High,High,Medium,1–2 weeks,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Peach,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Nectarine,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Plum,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Cherry,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
